anzsco_code,anzsco_title,isco08_code,soc_code,match_method
111111,Chief Executive or Managing Director,1120,11-1011,isco_triangulation
111111,Chief Executive or Managing Director,1120,11-1021,isco_triangulation
111211,Corporate General Manager,1120,11-1011,isco_triangulation
111211,Corporate General Manager,1120,11-1021,isco_triangulation
131112,Sales and Marketing Manager,1221,11-2021,isco_triangulation
131112,Sales and Marketing Manager,1221,11-2022,isco_triangulation
132111,Corporate Services Manager,1211,11-3011,isco_triangulation
132111,Corporate Services Manager,1211,11-3031,isco_triangulation
132211,Finance Manager,1211,11-3011,isco_triangulation
132211,Finance Manager,1211,11-3031,isco_triangulation
132311,Human Resource Manager,1212,11-3121,isco_triangulation
132411,Policy and Planning Manager,1213,11-3021,isco_triangulation
133111,Construction Project Manager,1323,11-9021,isco_triangulation
133111,Construction Project Manager,3123,47-1011,isco_triangulation
133112,Project Builder,1323,11-9021,isco_triangulation
133112,Project Builder,7111,47-2011,isco_triangulation
133211,Engineering Manager,1349,11-9121,isco_triangulation
133311,Importer or Exporter,1324,11-3061,isco_triangulation
133411,Manufacturer,1321,11-3051,isco_triangulation
133411,Manufacturer,1321,11-9051,isco_triangulation
133512,Production Manager (Manufacturing),1321,11-3051,isco_triangulation
133512,Production Manager (Manufacturing),1321,11-9051,isco_triangulation
133512,Production Manager (Manufacturing),3122,49-1011,isco_triangulation
133512,Production Manager (Manufacturing),3122,51-1011,isco_triangulation
133611,Supply and Distribution Manager,1324,11-3061,isco_triangulation
133612,Procurement Manager,1324,11-3061,isco_triangulation
134211,Medical Administrator (Aus) / Medical Superintendent (NZ),1342,11-3111,isco_triangulation
134211,Medical Administrator (Aus) / Medical Superintendent (NZ),1342,11-9041,isco_triangulation
134212,Nursing Clinical Director,1342,11-3111,isco_triangulation
134212,Nursing Clinical Director,1342,11-9041,isco_triangulation
134213,Primary Health Organisation Manager,1342,11-3111,isco_triangulation
134213,Primary Health Organisation Manager,1342,11-9041,isco_triangulation
134299,Health and Welfare Services Managers nec,1342,11-3111,isco_triangulation
134299,Health and Welfare Services Managers nec,1342,11-9041,isco_triangulation
134299,Health and Welfare Services Managers nec,1343,11-9111,isco_triangulation
135111,Chief Information Officer,1330,11-3071,isco_triangulation
135112,ICT Project Manager,1330,11-3071,isco_triangulation
135199,ICT Managers nec,1330,11-3071,isco_triangulation
139112,Commissioned Fire Officer,1349,11-9121,isco_triangulation
139113,Commissioned Police Officer,1349,11-9121,isco_triangulation
139911,Arts Administrator or Manager,1349,11-9121,isco_triangulation
139912,Environmental Manager,1349,11-9121,isco_triangulation
139913,Laboratory Manager,1349,11-9121,isco_triangulation
139914,Quality Assurance Manager,1213,11-3021,isco_triangulation
139915,Sports Administrator,1349,11-9121,isco_triangulation
139999,Specialist Managers nec,1321,11-3051,isco_triangulation
139999,Specialist Managers nec,1321,11-9051,isco_triangulation
139999,Specialist Managers nec,1349,11-9121,isco_triangulation
141912,Retirement Village Manager,1343,11-9111,isco_triangulation
149111,Amusement Centre Manager,1431,11-9031,isco_triangulation
149112,Fitness Centre Manager,1431,11-9031,isco_triangulation
149113,Sports Centre Manager,1431,11-9031,isco_triangulation
149411,Fleet Manager,1324,11-3061,isco_triangulation
149412,Railway Station Manager,1324,11-3061,isco_triangulation
149413,Transport Company Manager,1324,11-3061,isco_triangulation
149912,Cinema or Theatre Manager,1431,11-9031,isco_triangulation
149999,"Hospitality, Retail and Service Managers nec",3324,41-3031,isco_triangulation
211112,Dancer or Choreographer,2653,27-2031,isco_triangulation
211112,Dancer or Choreographer,2653,27-2032,isco_triangulation
211113,Entertainer or Variety Artist,2659,27-1019,isco_triangulation
211113,Entertainer or Variety Artist,2652,27-2011,isco_triangulation
211113,Entertainer or Variety Artist,2652,27-2012,isco_triangulation
211113,Entertainer or Variety Artist,2652,27-2021,isco_triangulation
211113,Entertainer or Variety Artist,2652,27-2041,isco_triangulation
211113,Entertainer or Variety Artist,2652,27-2042,isco_triangulation
211199,"Actors, Dancers and Other Entertainers nec",2659,27-1019,isco_triangulation
211211,Composer,2652,27-2011,isco_triangulation
211211,Composer,2652,27-2012,isco_triangulation
211211,Composer,2652,27-2021,isco_triangulation
211211,Composer,2652,27-2041,isco_triangulation
211211,Composer,2652,27-2042,isco_triangulation
211212,Music Director,2652,27-2011,isco_triangulation
211212,Music Director,2652,27-2012,isco_triangulation
211212,Music Director,2652,27-2021,isco_triangulation
211212,Music Director,2652,27-2041,isco_triangulation
211212,Music Director,2652,27-2042,isco_triangulation
211213,Musician (Instrumental),2652,27-2011,isco_triangulation
211213,Musician (Instrumental),2652,27-2012,isco_triangulation
211213,Musician (Instrumental),2652,27-2021,isco_triangulation
211213,Musician (Instrumental),2652,27-2041,isco_triangulation
211213,Musician (Instrumental),2652,27-2042,isco_triangulation
211214,Singer,2652,27-2011,isco_triangulation
211214,Singer,2652,27-2012,isco_triangulation
211214,Singer,2652,27-2021,isco_triangulation
211214,Singer,2652,27-2041,isco_triangulation
211214,Singer,2652,27-2042,isco_triangulation
211299,Music Professionals nec,2652,27-2011,isco_triangulation
211299,Music Professionals nec,2652,27-2012,isco_triangulation
211299,Music Professionals nec,2652,27-2021,isco_triangulation
211299,Music Professionals nec,2652,27-2041,isco_triangulation
211299,Music Professionals nec,2652,27-2042,isco_triangulation
211311,Photographer,3431,43-5031,isco_triangulation
211311,Photographer,3431,27-4021,isco_triangulation
211411,Painter (Visual Arts),2651,27-1012,isco_triangulation
211411,Painter (Visual Arts),2651,27-1013,isco_triangulation
211411,Painter (Visual Arts),2651,27-1014,isco_triangulation
211412,Potter or Ceramic Artist,2651,27-1012,isco_triangulation
211412,Potter or Ceramic Artist,2651,27-1013,isco_triangulation
211412,Potter or Ceramic Artist,2651,27-1014,isco_triangulation
211413,Sculptor,2651,27-1012,isco_triangulation
211413,Sculptor,2651,27-1013,isco_triangulation
211413,Sculptor,2651,27-1014,isco_triangulation
212113,Radio Presenter,2656,27-3012,isco_triangulation
212114,Television Presenter,2656,27-3012,isco_triangulation
212211,Author,2641,27-3011,isco_triangulation
212211,Author,2641,27-3023,isco_triangulation
212211,Author,2641,27-3041,isco_triangulation
212211,Author,2641,27-3042,isco_triangulation
212211,Author,2641,27-3043,isco_triangulation
212212,Book or Script Editor,2641,27-3011,isco_triangulation
212212,Book or Script Editor,2641,27-3023,isco_triangulation
212212,Book or Script Editor,2641,27-3041,isco_triangulation
212212,Book or Script Editor,2641,27-3042,isco_triangulation
212212,Book or Script Editor,2641,27-3043,isco_triangulation
212412,Newspaper or Periodical Editor,2642,27-3021,isco_triangulation
212412,Newspaper or Periodical Editor,2642,27-3022,isco_triangulation
212412,Newspaper or Periodical Editor,2642,27-3091,isco_triangulation
212413,Print Journalist,2642,27-3021,isco_triangulation
212413,Print Journalist,2642,27-3022,isco_triangulation
212413,Print Journalist,2642,27-3091,isco_triangulation
212414,Radio Journalist,2642,27-3021,isco_triangulation
212414,Radio Journalist,2642,27-3022,isco_triangulation
212414,Radio Journalist,2642,27-3091,isco_triangulation
212415,Technical Writer,2641,27-3011,isco_triangulation
212415,Technical Writer,2641,27-3023,isco_triangulation
212415,Technical Writer,2641,27-3041,isco_triangulation
212415,Technical Writer,2641,27-3042,isco_triangulation
212415,Technical Writer,2641,27-3043,isco_triangulation
212416,Television Journalist,2642,27-3021,isco_triangulation
212416,Television Journalist,2642,27-3022,isco_triangulation
212416,Television Journalist,2642,27-3091,isco_triangulation
212499,Journalists and Other Writers nec,2641,27-3011,isco_triangulation
212499,Journalists and Other Writers nec,2641,27-3023,isco_triangulation
212499,Journalists and Other Writers nec,2641,27-3041,isco_triangulation
212499,Journalists and Other Writers nec,2641,27-3042,isco_triangulation
212499,Journalists and Other Writers nec,2641,27-3043,isco_triangulation
212499,Journalists and Other Writers nec,2642,27-3021,isco_triangulation
212499,Journalists and Other Writers nec,2642,27-3022,isco_triangulation
212499,Journalists and Other Writers nec,2642,27-3091,isco_triangulation
221111,Accountant (General),2411,13-2011,isco_triangulation
221112,Management Accountant,2411,13-2011,isco_triangulation
221113,Taxation Accountant,2411,13-2011,isco_triangulation
221211,Company Secretary,1211,11-3011,isco_triangulation
221211,Company Secretary,1211,11-3031,isco_triangulation
221212,Corporate Treasurer,1211,11-3011,isco_triangulation
221212,Corporate Treasurer,1211,11-3031,isco_triangulation
221213,External Auditor,2411,13-2011,isco_triangulation
221214,Internal Auditor,2411,13-2011,isco_triangulation
222111,Commodities Trader,3324,41-3031,isco_triangulation
222113,Insurance Broker,3321,41-3021,isco_triangulation
222113,Insurance Broker,3321,43-9041,isco_triangulation
222212,Futures Trader,3324,41-3031,isco_triangulation
222299,Financial Dealers nec,2413,13-2031,isco_triangulation
222299,Financial Dealers nec,2413,13-2041,isco_triangulation
222299,Financial Dealers nec,2413,13-2051,isco_triangulation
222299,Financial Dealers nec,2413,13-2061,isco_triangulation
223111,Human Resource Adviser,2423,13-1111,isco_triangulation
223111,Human Resource Adviser,2423,43-9011,isco_triangulation
223112,Recruitment Consultant,2423,13-1111,isco_triangulation
223112,Recruitment Consultant,2423,43-9011,isco_triangulation
223113,Workplace Relations Adviser,2423,13-1111,isco_triangulation
223113,Workplace Relations Adviser,2423,43-9011,isco_triangulation
224111,Actuary,2120,15-2011,isco_triangulation
224111,Actuary,2120,15-2021,isco_triangulation
224111,Actuary,2120,15-2031,isco_triangulation
224112,Mathematician,2120,15-2011,isco_triangulation
224112,Mathematician,2120,15-2021,isco_triangulation
224112,Mathematician,2120,15-2031,isco_triangulation
224113,Statistician,2120,15-2011,isco_triangulation
224113,Statistician,2120,15-2021,isco_triangulation
224113,Statistician,2120,15-2031,isco_triangulation
224611,Librarian,1349,11-9121,isco_triangulation
224913,Migration Agent (Aus) / Immigration Consultant (NZ),2619,23-2011,isco_triangulation
231111,Aeroplane Pilot,3153,53-1043,isco_triangulation
231111,Aeroplane Pilot,3153,53-2011,isco_triangulation
231111,Aeroplane Pilot,3153,53-2012,isco_triangulation
231112,Air Traffic Controller,3154,53-1044,isco_triangulation
231113,Flying Instructor,3153,53-1043,isco_triangulation
231113,Flying Instructor,3153,53-2011,isco_triangulation
231113,Flying Instructor,3153,53-2012,isco_triangulation
231114,Helicopter Pilot,3153,53-1043,isco_triangulation
231114,Helicopter Pilot,3153,53-2011,isco_triangulation
231114,Helicopter Pilot,3153,53-2012,isco_triangulation
231199,Air Transport Professionals nec,3153,53-1043,isco_triangulation
231199,Air Transport Professionals nec,3153,53-2011,isco_triangulation
231199,Air Transport Professionals nec,3153,53-2012,isco_triangulation
231212,Ship's Engineer,3151,53-1041,isco_triangulation
231213,Ship's Master,3152,53-1042,isco_triangulation
231213,Ship's Master,3152,53-5011,isco_triangulation
231213,Ship's Master,3152,53-5021,isco_triangulation
231213,Ship's Master,3152,53-5022,isco_triangulation
231213,Ship's Master,3152,53-5031,isco_triangulation
231214,Ship's Officer,3152,53-1042,isco_triangulation
231214,Ship's Officer,3152,53-5011,isco_triangulation
231214,Ship's Officer,3152,53-5021,isco_triangulation
231214,Ship's Officer,3152,53-5022,isco_triangulation
231214,Ship's Officer,3152,53-5031,isco_triangulation
231299,Marine Transport Professionals nec,3152,53-1042,isco_triangulation
231299,Marine Transport Professionals nec,3152,53-5011,isco_triangulation
231299,Marine Transport Professionals nec,3152,53-5021,isco_triangulation
231299,Marine Transport Professionals nec,3152,53-5022,isco_triangulation
231299,Marine Transport Professionals nec,3152,53-5031,isco_triangulation
232111,Architect,2161,17-1011,isco_triangulation
232111,Architect,2161,17-2011,isco_triangulation
232111,Architect,2161,27-1011,isco_triangulation
232112,Landscape Architect,2162,27-1025,isco_triangulation
232311,Fashion Designer,2163,27-1021,isco_triangulation
232311,Fashion Designer,2163,27-1023,isco_triangulation
232311,Fashion Designer,2163,27-1026,isco_triangulation
232311,Fashion Designer,2163,27-1027,isco_triangulation
232311,Fashion Designer,2163,27-1029,isco_triangulation
232312,Industrial Designer,2163,27-1021,isco_triangulation
232312,Industrial Designer,2163,27-1023,isco_triangulation
232312,Industrial Designer,2163,27-1026,isco_triangulation
232312,Industrial Designer,2163,27-1027,isco_triangulation
232312,Industrial Designer,2163,27-1029,isco_triangulation
232313,Jewellery Designer,2163,27-1021,isco_triangulation
232313,Jewellery Designer,2163,27-1023,isco_triangulation
232313,Jewellery Designer,2163,27-1026,isco_triangulation
232313,Jewellery Designer,2163,27-1027,isco_triangulation
232313,Jewellery Designer,2163,27-1029,isco_triangulation
232411,Graphic Designer,2166,27-1022,isco_triangulation
232411,Graphic Designer,2166,27-1024,isco_triangulation
232412,Illustrator,2166,27-1022,isco_triangulation
232412,Illustrator,2166,27-1024,isco_triangulation
232412,Illustrator,2651,27-1012,isco_triangulation
232412,Illustrator,2651,27-1013,isco_triangulation
232412,Illustrator,2651,27-1014,isco_triangulation
232413,Multimedia Designer,2166,27-1022,isco_triangulation
232413,Multimedia Designer,2166,27-1024,isco_triangulation
232414,Web Designer,2166,27-1022,isco_triangulation
232414,Web Designer,2166,27-1024,isco_triangulation
232511,Interior Designer,2161,17-1011,isco_triangulation
232511,Interior Designer,2161,17-2011,isco_triangulation
232511,Interior Designer,2161,27-1011,isco_triangulation
233111,Chemical Engineer,2145,17-2041,isco_triangulation
233112,Materials Engineer,2149,17-2131,isco_triangulation
233211,Civil Engineer,2142,17-2031,isco_triangulation
233211,Civil Engineer,2142,17-2051,isco_triangulation
233212,Geotechnical Engineer,2142,17-2031,isco_triangulation
233212,Geotechnical Engineer,2142,17-2051,isco_triangulation
233213,Quantity Surveyor,2149,17-2131,isco_triangulation
233214,Structural Engineer,2142,17-2031,isco_triangulation
233214,Structural Engineer,2142,17-2051,isco_triangulation
233215,Transport Engineer,2142,17-2031,isco_triangulation
233215,Transport Engineer,2142,17-2051,isco_triangulation
233311,Electrical Engineer,2151,17-2071,isco_triangulation
233411,Electronics Engineer,2152,17-2072,isco_triangulation
233511,Industrial Engineer,2141,13-2021,isco_triangulation
233511,Industrial Engineer,2141,17-2112,isco_triangulation
233511,Industrial Engineer,2149,17-2131,isco_triangulation
233512,Mechanical Engineer,2144,17-2061,isco_triangulation
233512,Mechanical Engineer,2144,17-2141,isco_triangulation
233513,Production or Plant Engineer,2141,13-2021,isco_triangulation
233513,Production or Plant Engineer,2141,17-2112,isco_triangulation
233611,Mining Engineer (excluding Petroleum),2146,17-2121,isco_triangulation
233611,Mining Engineer (excluding Petroleum),2146,17-2151,isco_triangulation
233611,Mining Engineer (excluding Petroleum),2146,17-2171,isco_triangulation
233612,Petroleum Engineer,2146,17-2121,isco_triangulation
233612,Petroleum Engineer,2146,17-2151,isco_triangulation
233612,Petroleum Engineer,2146,17-2171,isco_triangulation
233911,Aeronautical Engineer,2144,17-2061,isco_triangulation
233911,Aeronautical Engineer,2144,17-2141,isco_triangulation
233912,Agricultural Engineer,2144,17-2061,isco_triangulation
233912,Agricultural Engineer,2144,17-2141,isco_triangulation
233912,Agricultural Engineer,2149,17-2131,isco_triangulation
233913,Biomedical Engineer,2149,17-2131,isco_triangulation
233914,Engineering Technologist,2141,13-2021,isco_triangulation
233914,Engineering Technologist,2141,17-2112,isco_triangulation
233914,Engineering Technologist,2142,17-2031,isco_triangulation
233914,Engineering Technologist,2142,17-2051,isco_triangulation
233914,Engineering Technologist,2144,17-2061,isco_triangulation
233914,Engineering Technologist,2144,17-2141,isco_triangulation
233914,Engineering Technologist,2145,17-2041,isco_triangulation
233914,Engineering Technologist,2146,17-2121,isco_triangulation
233914,Engineering Technologist,2146,17-2151,isco_triangulation
233914,Engineering Technologist,2146,17-2171,isco_triangulation
233914,Engineering Technologist,2149,17-2131,isco_triangulation
233914,Engineering Technologist,2151,17-2071,isco_triangulation
233914,Engineering Technologist,2152,17-2072,isco_triangulation
233915,Environmental Engineer,2143,17-2021,isco_triangulation
233915,Environmental Engineer,2143,17-2081,isco_triangulation
233915,Environmental Engineer,2143,17-2111,isco_triangulation
233915,Environmental Engineer,2143,17-2161,isco_triangulation
233916,Naval Architect (Aus) / Marine Designer (NZ),2144,17-2061,isco_triangulation
233916,Naval Architect (Aus) / Marine Designer (NZ),2144,17-2141,isco_triangulation
233999,Engineering Professionals nec,2149,17-2131,isco_triangulation
234212,Food Technologist,2145,17-2041,isco_triangulation
234213,Wine Maker,2145,17-2041,isco_triangulation
234314,Park Ranger,5419,33-9091,isco_triangulation
234314,Park Ranger,5419,33-9092,isco_triangulation
234314,Park Ranger,5419,33-9093,isco_triangulation
234912,Metallurgist,2146,17-2121,isco_triangulation
234912,Metallurgist,2146,17-2151,isco_triangulation
234912,Metallurgist,2146,17-2171,isco_triangulation
234914,Physicist,2111,15-2041,isco_triangulation
234999,Natural and Physical Science Professionals nec,2146,17-2121,isco_triangulation
234999,Natural and Physical Science Professionals nec,2146,17-2151,isco_triangulation
234999,Natural and Physical Science Professionals nec,2146,17-2171,isco_triangulation
241211,Kaiako Kura Kaupapa Mäori (Mäori-medium Primary School Teacher),2341,25-2011,isco_triangulation
241211,Kaiako Kura Kaupapa Mäori (Mäori-medium Primary School Teacher),2341,25-2012,isco_triangulation
241211,Kaiako Kura Kaupapa Mäori (Mäori-medium Primary School Teacher),2341,25-2021,isco_triangulation
241212,Pouako Kura Kaupapa Mäori (Mäori-medium Primary School Senior Teacher),2341,25-2011,isco_triangulation
241212,Pouako Kura Kaupapa Mäori (Mäori-medium Primary School Senior Teacher),2341,25-2012,isco_triangulation
241212,Pouako Kura Kaupapa Mäori (Mäori-medium Primary School Senior Teacher),2341,25-2021,isco_triangulation
241213,Primary School Teacher,2341,25-2011,isco_triangulation
241213,Primary School Teacher,2341,25-2012,isco_triangulation
241213,Primary School Teacher,2341,25-2021,isco_triangulation
241311,Middle School Teacher (Aus) / Intermediate School Teacher (NZ),2330,25-2022,isco_triangulation
241311,Middle School Teacher (Aus) / Intermediate School Teacher (NZ),2330,25-2031,isco_triangulation
241311,Middle School Teacher (Aus) / Intermediate School Teacher (NZ),2341,25-2011,isco_triangulation
241311,Middle School Teacher (Aus) / Intermediate School Teacher (NZ),2341,25-2012,isco_triangulation
241311,Middle School Teacher (Aus) / Intermediate School Teacher (NZ),2341,25-2021,isco_triangulation
241411,Secondary School Teacher,2330,25-2022,isco_triangulation
241411,Secondary School Teacher,2330,25-2031,isco_triangulation
241511,Special Needs Teacher,2352,25-3011,isco_triangulation
241512,Teacher of the Hearing Impaired,2352,25-3011,isco_triangulation
241513,Teacher of the Sight Impaired,2352,25-3011,isco_triangulation
241599,Special Education Teachers nec,2352,25-3011,isco_triangulation
242111,University Lecturer,2310,25-1011,isco_triangulation
242111,University Lecturer,2310,25-1021,isco_triangulation
242111,University Lecturer,2310,25-1022,isco_triangulation
242111,University Lecturer,2310,25-1031,isco_triangulation
242111,University Lecturer,2310,25-1032,isco_triangulation
242112,University Tutor,2310,25-1011,isco_triangulation
242112,University Tutor,2310,25-1021,isco_triangulation
242112,University Tutor,2310,25-1022,isco_triangulation
242112,University Tutor,2310,25-1031,isco_triangulation
242112,University Tutor,2310,25-1032,isco_triangulation
242211,Vocational Education Teacher (Aus) / Polytechnic Teacher (NZ),2310,25-1011,isco_triangulation
242211,Vocational Education Teacher (Aus) / Polytechnic Teacher (NZ),2310,25-1021,isco_triangulation
242211,Vocational Education Teacher (Aus) / Polytechnic Teacher (NZ),2310,25-1022,isco_triangulation
242211,Vocational Education Teacher (Aus) / Polytechnic Teacher (NZ),2310,25-1031,isco_triangulation
242211,Vocational Education Teacher (Aus) / Polytechnic Teacher (NZ),2310,25-1032,isco_triangulation
249111,Education Adviser,2351,25-9031,isco_triangulation
249112,Education Reviewer,2351,25-9031,isco_triangulation
249299,Private Tutors and Teachers nec ,2353,25-3021,isco_triangulation
249299,Private Tutors and Teachers nec ,2353,25-3031,isco_triangulation
249299,Private Tutors and Teachers nec,2359,25-2052,isco_triangulation
249311,Teacher of English to Speakers of Other Languages,2353,25-3021,isco_triangulation
249311,Teacher of English to Speakers of Other Languages,2353,25-3031,isco_triangulation
251411,Optometrist,2267,29-1122,isco_triangulation
251412,Orthoptist,2267,29-1122,isco_triangulation
251511,Hospital Pharmacist,2262,29-1051,isco_triangulation
251512,Industrial Pharmacist,2262,29-1051,isco_triangulation
251513,Retail Pharmacist,2262,29-1051,isco_triangulation
252311,Dental Specialist,2261,29-1211,isco_triangulation
252311,Dental Specialist,2261,29-1031,isco_triangulation
252312,Dentist,2261,29-1211,isco_triangulation
252312,Dentist,2261,29-1031,isco_triangulation
252511,Physiotherapist,2264,29-1123,isco_triangulation
252711,Audiologist,2266,29-1127,isco_triangulation
252712,Speech Pathologist (Aus) \ Speech Language Therapist (NZ),2266,29-1127,isco_triangulation
253111,General Practitioner,2211,29-1215,isco_triangulation
253111,General Practitioner,2211,29-1221,isco_triangulation
253112,Resident Medical Officer,2211,29-1215,isco_triangulation
253112,Resident Medical Officer,2211,29-1221,isco_triangulation
253211,Anaesthetist,2212,29-1171,isco_triangulation
253211,Anaesthetist,2212,29-1212,isco_triangulation
253211,Anaesthetist,2212,29-1213,isco_triangulation
253211,Anaesthetist,2212,29-1214,isco_triangulation
253211,Anaesthetist,2212,29-1216,isco_triangulation
253211,Anaesthetist,2212,29-1218,isco_triangulation
253211,Anaesthetist,2212,29-1222,isco_triangulation
253211,Anaesthetist,2212,29-1223,isco_triangulation
253211,Anaesthetist,2212,29-1224,isco_triangulation
253211,Anaesthetist,2212,29-1229,isco_triangulation
253211,Anaesthetist,2212,29-1241,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1171,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1212,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1213,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1214,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1216,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1218,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1222,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1223,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1224,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1229,isco_triangulation
253311,Specialist Physician (General Medicine),2212,29-1241,isco_triangulation
253312,Cardiologist,2212,29-1171,isco_triangulation
253312,Cardiologist,2212,29-1212,isco_triangulation
253312,Cardiologist,2212,29-1213,isco_triangulation
253312,Cardiologist,2212,29-1214,isco_triangulation
253312,Cardiologist,2212,29-1216,isco_triangulation
253312,Cardiologist,2212,29-1218,isco_triangulation
253312,Cardiologist,2212,29-1222,isco_triangulation
253312,Cardiologist,2212,29-1223,isco_triangulation
253312,Cardiologist,2212,29-1224,isco_triangulation
253312,Cardiologist,2212,29-1229,isco_triangulation
253312,Cardiologist,2212,29-1241,isco_triangulation
253313,Clinical Haematologist,2212,29-1171,isco_triangulation
253313,Clinical Haematologist,2212,29-1212,isco_triangulation
253313,Clinical Haematologist,2212,29-1213,isco_triangulation
253313,Clinical Haematologist,2212,29-1214,isco_triangulation
253313,Clinical Haematologist,2212,29-1216,isco_triangulation
253313,Clinical Haematologist,2212,29-1218,isco_triangulation
253313,Clinical Haematologist,2212,29-1222,isco_triangulation
253313,Clinical Haematologist,2212,29-1223,isco_triangulation
253313,Clinical Haematologist,2212,29-1224,isco_triangulation
253313,Clinical Haematologist,2212,29-1229,isco_triangulation
253313,Clinical Haematologist,2212,29-1241,isco_triangulation
253314,Medical Oncologist,2212,29-1171,isco_triangulation
253314,Medical Oncologist,2212,29-1212,isco_triangulation
253314,Medical Oncologist,2212,29-1213,isco_triangulation
253314,Medical Oncologist,2212,29-1214,isco_triangulation
253314,Medical Oncologist,2212,29-1216,isco_triangulation
253314,Medical Oncologist,2212,29-1218,isco_triangulation
253314,Medical Oncologist,2212,29-1222,isco_triangulation
253314,Medical Oncologist,2212,29-1223,isco_triangulation
253314,Medical Oncologist,2212,29-1224,isco_triangulation
253314,Medical Oncologist,2212,29-1229,isco_triangulation
253314,Medical Oncologist,2212,29-1241,isco_triangulation
253315,Endocrinologist,2212,29-1171,isco_triangulation
253315,Endocrinologist,2212,29-1212,isco_triangulation
253315,Endocrinologist,2212,29-1213,isco_triangulation
253315,Endocrinologist,2212,29-1214,isco_triangulation
253315,Endocrinologist,2212,29-1216,isco_triangulation
253315,Endocrinologist,2212,29-1218,isco_triangulation
253315,Endocrinologist,2212,29-1222,isco_triangulation
253315,Endocrinologist,2212,29-1223,isco_triangulation
253315,Endocrinologist,2212,29-1224,isco_triangulation
253315,Endocrinologist,2212,29-1229,isco_triangulation
253315,Endocrinologist,2212,29-1241,isco_triangulation
253316,Gastroenterologist,2212,29-1171,isco_triangulation
253316,Gastroenterologist,2212,29-1212,isco_triangulation
253316,Gastroenterologist,2212,29-1213,isco_triangulation
253316,Gastroenterologist,2212,29-1214,isco_triangulation
253316,Gastroenterologist,2212,29-1216,isco_triangulation
253316,Gastroenterologist,2212,29-1218,isco_triangulation
253316,Gastroenterologist,2212,29-1222,isco_triangulation
253316,Gastroenterologist,2212,29-1223,isco_triangulation
253316,Gastroenterologist,2212,29-1224,isco_triangulation
253316,Gastroenterologist,2212,29-1229,isco_triangulation
253316,Gastroenterologist,2212,29-1241,isco_triangulation
253317,Intensive Care Specialist,2212,29-1171,isco_triangulation
253317,Intensive Care Specialist,2212,29-1212,isco_triangulation
253317,Intensive Care Specialist,2212,29-1213,isco_triangulation
253317,Intensive Care Specialist,2212,29-1214,isco_triangulation
253317,Intensive Care Specialist,2212,29-1216,isco_triangulation
253317,Intensive Care Specialist,2212,29-1218,isco_triangulation
253317,Intensive Care Specialist,2212,29-1222,isco_triangulation
253317,Intensive Care Specialist,2212,29-1223,isco_triangulation
253317,Intensive Care Specialist,2212,29-1224,isco_triangulation
253317,Intensive Care Specialist,2212,29-1229,isco_triangulation
253317,Intensive Care Specialist,2212,29-1241,isco_triangulation
253318,Neurologist,2212,29-1171,isco_triangulation
253318,Neurologist,2212,29-1212,isco_triangulation
253318,Neurologist,2212,29-1213,isco_triangulation
253318,Neurologist,2212,29-1214,isco_triangulation
253318,Neurologist,2212,29-1216,isco_triangulation
253318,Neurologist,2212,29-1218,isco_triangulation
253318,Neurologist,2212,29-1222,isco_triangulation
253318,Neurologist,2212,29-1223,isco_triangulation
253318,Neurologist,2212,29-1224,isco_triangulation
253318,Neurologist,2212,29-1229,isco_triangulation
253318,Neurologist,2212,29-1241,isco_triangulation
253321,Paediatrician,2212,29-1171,isco_triangulation
253321,Paediatrician,2212,29-1212,isco_triangulation
253321,Paediatrician,2212,29-1213,isco_triangulation
253321,Paediatrician,2212,29-1214,isco_triangulation
253321,Paediatrician,2212,29-1216,isco_triangulation
253321,Paediatrician,2212,29-1218,isco_triangulation
253321,Paediatrician,2212,29-1222,isco_triangulation
253321,Paediatrician,2212,29-1223,isco_triangulation
253321,Paediatrician,2212,29-1224,isco_triangulation
253321,Paediatrician,2212,29-1229,isco_triangulation
253321,Paediatrician,2212,29-1241,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1171,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1212,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1213,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1214,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1216,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1218,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1222,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1223,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1224,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1229,isco_triangulation
253322,Renal Medicine Specialist,2212,29-1241,isco_triangulation
253323,Rheumatologist,2212,29-1171,isco_triangulation
253323,Rheumatologist,2212,29-1212,isco_triangulation
